time,wheel1 angular velocity,wheel2 angular velocity,wheel1 centre of mass x,wheel2 centre of mass x,wheel1 centre of mass y,wheel2 centre of mass y
0.0,0.0,0.0,0,0,0,0
0.03333333333333333,5.115641794181388E-6,1.022972531431595E-5,0,0,0,0
0.06666666666666667,1.4693531374393701E-5,2.9382586870769068E-5,0,0,0,0
0.1,2.8673502077184903E-5,5.7338269353767533E-5,0,0,0,0
0.13333333333333333,4.6996668889283916E-5,9.397901999243634E-5,0,0,0,0
0.16666666666666666,6.960555759803903E-5,1.3918990669131178E-4,0,0,0,0
0.2,9.64442293378599E-5,1.9285906695853402E-4,0,0,0,0
0.23333333333333334,1.2745840069413428E-4,2.548779479540912E-4,0,0,-1,-1
0.26666666666666666,1.6259555953025893E-4,3.2514153798896304E-4,0,0,-1,-1
0.3,2.0180507670721778E-4,4.035485898135564E-4,0,0,-1,-1
0.3333333333333333,2.450383138685833E-4,4.900018360406745E-4,0,0,-1,-1
0.36666666666666664,2.9224872746692345E-4,5.84408197054443E-4,0,0,-1,-1
0.4,3.433919692103992E-4,6.866789817621779E-4,0,0,-1,-1
0.43333333333333335,3.984259831108375E-4,7.967300815511621E-4,0,0,-1,-1
0.4666666666666667,4.5731109931680257E-4,9.14482157816735E-4,0,0,-1,-1
0.5,5.200101249171716E-4,0.0010398608234320373,0,0,-2,-2
0.5333333333333333,5.86488431902472E-4,0.001172796818533221,0,0,-2,-2
0.5666666666666667,6.567140424727679E-4,0.0013132261809969856,0,0,-2,-2
0.6,7.306577118822386E-4,0.0014610904119899553,0,0,-2,-2
0.6333333333333333,8.082930090117461E-4,0.001616336636971715,0,0,-2,-2
0.6666666666666666,8.895963948617087E-4,0.0017789177625353167,0,0,-2,-2
0.7,9.745472991584617E-4,0.0019487926294707693,0,0,-2,-2
0.7333333333333333,0.0010631281952680374,0.0021259261624384956,0,0,-3,-3
0.7666666666666667,0.0011553246736119415,0.0023102895166409814,0,0,-3,-3
0.8,0.001251125513780052,0.0025018602218819254,0,0,-3,-3
0.8333333333333334,0.0013505227555362658,0.002700622324403113,0,0,-3,-3
0.8666666666666667,0.0014535117689129318,0.0029065665268900665,0,0,-3,-3
0.9,0.00156009132359051,0.003119690327038243,0,0,-3,-3
0.9333333333333333,0.0016702636577592663,0.0033399981550722413,0,0,-3,-3
0.9666666666666667,0.001784034546660162,0.0035675015106111404,0,0,-3,-3
1.0,0.00190141337100248,0.0038022190992737536,0,0,-4,-4
1.0333333333333334,0.0020224131854561095,0.004044176969418302,0,0,-4,-4
1.0666666666666667,0.0021470507874168337,0.00429340864941177,0,0,-4,-4
1.1,0.002275346786243453,0.004549955285825102,0,0,-4,-4
1.1333333333333333,0.0024073256731661024,0.0048138657829513345,0,0,-4,-4
1.1666666666666667,0.002543015892065762,0.0050851969440449665,0,0,-4,-4
1.2,0.0026824499113256516,0.005364013614682108,0,0,-4,-4
1.2333333333333334,0.0028256642969560234,0.005650388828642519,0,0,-4,-4
1.2666666666666666,0.0029726997871948,0.005944403956716338,0,0,-5,-5
1.3,0.003123601368787578,0.006246148858840316,0,0,-5,-5
1.3333333333333333,0.003278418355151715,0.00655572203997061,0,0,-5,-5
1.3666666666666667,0.003437204466630591,0.00687323081010176,0,0,-5,-5
1.4,0.0036000179130456604,0.0071987914488443345,0,0,-5,-5
1.4333333333333333,0.0037669214787556353,0.007532529374976968,0,0,-5,-5
1.4666666666666666,0.003937982610434039,0.007874579321392102,0,0,-5,-5
1.5,0.004113273507778494,0.008225085515858698,0,0,-5,-5
1.5333333333333334,0.004292871217367429,0.008584201868029624,0,0,-5,-5
1.5666666666666667,0.004476857729882446,0.008952092163126207,0,0,-6,-6
1.6,0.004665320080917409,0.009328930262737761,0,0,-6,-6
1.6333333333333333,0.004854799942642732,0.009707800875522197,0,0,-6,-6
1.6666666666666667,0.005044135576709189,0.010086380926651877,0,0,-6,-6
1.7,0.005233404141455505,0.010464824586850262,0,0,-6,-6
1.7333333333333334,0.0054226819197208415,0.010843284271588852,0,0,-6,-6
1.7666666666666666,0.005612044358874187,0.011221910720840765,0,0,-6,-6
1.8,0.005801566110068572,0.01160085307727516,0,0,-6,-6
1.8333333333333333,0.005991321066744158,0.01198025896293993,0,0,-6,-6
1.8666666666666667,0.006181382402403752,0.012360274554478948,0,0,-6,-6
1.9,0.006371822607683646,0.012741044656929044,0,0,-6,-6
1.9333333333333333,0.006562713526742256,0.013122712776140752,0,0,-6,-6
1.9666666666666666,0.006754126392988421,0.013505421189865861,0,0,-6,-6
2.0,0.006946131864170761,0.013889311017553722,0,0,-6,-6
2.033333333333333,0.007138800056848984,0.014274522288897269,0,0,-6,-6
2.066666666666667,0.007332200580267554,0.014661194011168695,0,0,-6,-6
2.1,0.00752640256965168,0.015049464235383822,0,0,-6,-6
2.1333333333333333,0.007721474718945073,0.015439470121333182,0,0,-6,-6
2.1666666666666665,0.00791748531300856,0.015831348001516966,0,0,-6,-6
2.2,0.008114502259298148,0.0162252334440201,0,0,-6,-6
2.2333333333333334,0.008312593119040724,0.016621261314362777,0,0,-6,-6
2.2666666666666666,0.008511825137925196,0.017019565836360977,0,0,-6,-6
2.3,0.008712265276326462,0.017420280652030683,0,0,-6,-6
2.3333333333333335,0.0089139802390792,0.017823538880568597,0,0,-6,-6
2.3666666666666667,0.009117036504818116,0.018229473176441465,0,0,-6,-6
2.4,0.009321500354900937,0.0186382157866153,0,0,-6,-6
2.433333333333333,0.009527437901929997,0.019049898606955006,0,0,-6,-6
